"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"3236","Petaling",2015,5,"SELANGOR","Du_Ss_2__1_",96,48,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3237","Petaling",2015,3,"SELANGOR","Tmpjs_2C_Apt_Medan_Cahaya__Blok_A_,_H_",60,44,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3238","Petaling",2015,3,"SELANGOR","Seksyen_U19_Tmn.Sribuloh,Rmhmrhpkns:J_Ln_U19,1,_U19,12C,Rmhpngsatmn_Sri_Blh",34,44,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3239","Petaling",2015,9,"SELANGOR","Seksyen_U20__Fasa_1b_Bbsb_:_Jln_1b,1,1d,3",60,75,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3240","Petaling",2015,12,"SELANGOR","Pst_Bdr_Puchong__Jln_Bandar_,_Qts_Bomba_",80,76,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3241","Petaling",2015,3,"SELANGOR","Seksyen_7_Teres_E_:_Jln_7,29_,_7,35",114,43,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3242","Petaling",2015,9,"SELANGOR","Bl_Pju_6a_Kg_Sg_Kayu_Ara_5_Jln_Teratai,_Melur,_Mawar,_Melati",107,73,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3243","Petaling",2015,7,"SELANGOR","Usj_8_Subang_Perdana_Goodyear_Court_4",146,35,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3244","Petaling",2015,9,"SELANGOR","Taman_Sri_Puchong",107,73,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3245","Petaling",2015,12,"SELANGOR","Tmn_Perindustrian_Puchong_Jln_Tpp_1,20_,_1,36_",107,74,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3246","Petaling",2015,9,"SELANGOR","Seksyen_16__Pangsapuri_Anggerik_Indah",60,72,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3247","Petaling",2015,9,"SELANGOR","Usj_1,1",111,72,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3248","Petaling",2015,9,"SELANGOR","Usj_2,2",100,72,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3249","Petaling",2015,3,"SELANGOR","Batu_13_1,2_Kg_Pasir_Baru",1,40,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3250","Petaling",2015,12,"SELANGOR","Seksyen_U3_Pangsapuri_Daisy_B_:_Blok_3_,_8_",96,72,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3251","Petaling",2015,12,"SELANGOR","Usj_6,5_,_Usj_6,7",80,70,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3252","Petaling",2015,7,"SELANGOR","Dun_Bg_Seksyen_14_Teres_B_:_Jln_14,29,Jln_14,49",51,34,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3253","Petaling",2015,7,"SELANGOR","TM_Pjs_1_Apt_Petaling_Perdana_1_Blok_A,H",157,34,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3254","Petaling",2015,3,"SELANGOR","Blpju_6A_Tmn_Kayu_Ara_Indah",1,39,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3255","Petaling",2015,3,"SELANGOR","Ktpju_1A_Puncak_Sri_Kelana_Kondo",179,39,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3256","Petaling",2015,3,"SELANGOR","Usj_11,3",157,39,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3257","Petaling",2015,5,"SELANGOR","Taman_Sri_Puchong'",70,45,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
