Stnno,Year,Month,Day,Rainfall_mm,Wind_mean_24Hr,Humidity,Solar_Radiation_Mjm2
48648,2008,7,13,-33.3,1.5,na,na
48648,2008,7,14,14.8,1.6,na,na
48648,2008,7,15,0.6,1.7,na,na
48648,2008,7,16,7.6,1.6,na,na
48648,2008,7,17,0.2,2.1,na,na
48648,2008,7,18,0.0,2.4,na,na
48648,2008,7,19,0.0,2.5,na,na
48648,2008,7,20,0.0,2.2,na,na
48648,2008,7,21,0.0,1.7,na,na
48648,2008,7,22,3.6,1.6,na,na
48648,2008,7,23,-33.3,1.6,na,na
48648,2008,7,24,0.0,1.6,na,na
48648,2008,7,25,-33.3,1.5,na,na
48648,2008,7,26,0.0,2.0,na,na
48648,2008,7,27,0.0,2.0,na,na
48648,2008,7,28,0.0,2.0,na,na
48648,2008,7,29,0.0,1.5,na,na
48648,2008,7,30,0.0,2.4,na,na
48648,2008,7,31,0.0,2.3,na,na
48648,2008,8,1,0.0,2.5,na,na
48648,2008,8,2,0.0,2.1,na,na
48648,2008,8,3,0.8,2.1,na,na
48648,2008,8,4,0.0,2.6,na,na
48648,2008,8,5,0.0,2.1,na,na
48648,2008,8,6,0.0,2.3,na,na
48648,2008,8,7,46.6,1.7,na,na
48648,2008,8,8,0.0,2.3,na,na
48648,2008,8,9,0.0,1.9,na,na
48648,2008,8,10,-33.3,2.0,na,na
48648,2008,8,11,0.0,2.0,na,na
48648,2008,8,12,0.0,1.7,na,na
48648,2008,8,13,0.0,1.6,na,na
48648,2008,8,14,-33.3,1.9,na,na
48648,2008,8,15,0.0,1.9,na,na
48648,2008,8,16,-33.3,2.0,na,na
48648,2008,8,17,0.0,1.7,na,na
48648,2008,8,18,18.8,2.0,na,na
48648,2008,8,19,0.0,1.5,na,na
48648,2008,8,20,0.2,1.8,na,na
48648,2008,8,21,27.2,1.6,na,na
48648,2008,8,22,81.6,2.0,na,na
48648,2008,8,23,9.2,1.8,na,na
48648,2008,8,24,45.8,1.7,na,na
48648,2008,8,25,14.4,1.5,na,na
48648,2008,8,26,7.0,1.8,na,na
48648,2008,8,27,71.4,1.5,na,na
48648,2008,8,28,1.0,1.5,na,na
48648,2008,8,29,-33.3,1.9,na,na
48648,2008,8,30,9.4,1.3,na,na
48648,2008,8,31,0.2,1.3,na,na
48648,2008,9,1,49.6,1.2,na,na
48648,2008,9,2,2.4,1.4,na,na
48648,2008,9,3,3.2,1.7,na,na
48648,2008,9,4,33.0,1.2,na,na
48648,2008,9,5,1.2,2.1,na,na
48648,2008,9,6,22.2,1.7,na,na
48648,2008,9,7,0.0,2.9,na,na
48648,2008,9,8,0.0,3.7,na,na
48648,2008,9,9,0.0,3.2,na,na
48648,2008,9,10,0.0,2.0,na,na
48648,2008,9,11,5.8,2.4,na,na
48648,2008,9,12,0.0,2.1,na,na
48648,2008,9,13,0.0,2.0,na,na
48648,2008,9,14,2.8,2.0,na,na
48648,2008,9,15,3.0,1.8,na,na
48648,2008,9,16,0.0,1.5,na,na
48648,2008,9,17,0.0,1.6,na,na
48648,2008,9,18,0.6,1.5,na,na
48648,2008,9,19,16.6,2.3,na,na
48648,2008,9,20,0.0,1.9,na,na
48648,2008,9,21,0.2,1.4,na,na
48648,2008,9,22,0.0,2.4,na,na
48648,2008,9,23,0.0,2.3,na,na
48648,2008,9,24,27.8,1.6,na,na
48648,2008,9,25,2.6,1.5,na,na
48648,2008,9,26,5.2,1.8,na,na
48648,2008,9,27,75.0,1.5,na,na
48648,2008,9,28,0.2,1.6,na,na
48648,2008,9,29,3.6,1.3,na,na
48648,2008,9,30,17.6,4.0,na,na
48648,2008,10,1,0.0,2.3,na,na
48648,2008,10,2,0.0,1.5,na,na
48648,2008,10,3,54.4,1.6,na,na
48648,2008,10,4,0.0,1.7,na,na
48648,2008,10,5,19.8,1.5,na,na
48648,2008,10,6,1.0,1.5,na,na
48648,2008,10,7,1.8,1.6,na,na
48648,2008,10,8,9.6,1.2,na,na
48648,2008,10,9,8.2,1.1,na,na
48648,2008,10,10,12.4,1.8,na,na
48648,2008,10,11,45.0,1.4,na,na
48648,2008,10,12,12.6,2.0,na,na
48648,2008,10,13,2.4,1.7,na,na
48648,2008,10,14,47.6,1.7,na,na
48648,2008,10,15,16.4,1.9,na,na
48648,2008,10,16,12.8,1.9,na,na
48648,2008,10,17,34.8,1.4,na,na
48648,2008,10,18,0.4,1.5,na,na
48648,2008,10,19,50.4,1.3,na,na
48648,2008,10,20,9.4,1.4,na,na
48648,2008,10,21,25.4,2.0,na,na
48648,2008,10,22,13.8,3.2,na,na
48648,2008,10,23,0.2,2.4,na,na
48648,2008,10,24,6.6,1.6,na,na
48648,2008,10,25,0.0,2.3,na,na
48648,2008,10,26,0.0,1.4,na,na
48648,2008,10,27,0.0,1.6,na,na
48648,2008,10,28,0.0,3.0,na,na
48648,2008,10,29,0.0,2.8,na,na
48648,2008,10,30,0.0,2.2,na,na
48648,2008,10,31,0.0,3.2,na,na
48648,2008,11,1,0.0,2.2,na,na
48648,2008,11,2,6.3,2.1,na,na
48648,2008,11,3,28.4,1.4,na,na
48648,2008,11,4,25.2,1.4,na,na
48648,2008,11,5,7.2,2.2,na,na
48648,2008,11,6,3.6,2.3,na,na
48648,2008,11,7,0.0,3.2,na,na
48648,2008,11,8,0.0,3.1,na,na
48648,2008,11,9,9.0,1.8,na,na
48648,2008,11,10,10.0,2.0,na,na
48648,2008,11,11,-33.3,1.8,na,na
48648,2008,11,12,60.8,1.4,na,na
48648,2008,11,13,13.2,1.1,na,na
48648,2008,11,14,66.2,1.7,na,na
48648,2008,11,15,0.6,1.3,na,na
48648,2008,11,16,1.8,1.5,na,na
48648,2008,11,17,0.4,1.6,na,na
48648,2008,11,18,62.8,1.1,na,na
48648,2008,11,19,74.6,1.2,na,na
48648,2008,11,20,34.0,1.6,na,na
48648,2008,11,21,0.4,1.2,na,na
48648,2008,11,22,0.0,1.3,na,na
48648,2008,11,23,17.4,2.5,na,na
48648,2008,11,24,-33.3,2.3,na,na
48648,2008,11,25,3.6,2.2,na,na
48648,2008,11,26,13.4,2.1,na,na
48648,2008,11,27,34.0,2.1,na,na
48648,2008,11,28,27.4,1.8,na,na
48648,2008,11,29,-33.3,1.8,na,na
48648,2008,11,30,0.0,1.4,na,na
48648,2008,12,1,0.0,1.3,na,na
48648,2008,12,2,14.2,1.4,na,na
48648,2008,12,3,0.0,1.1,na,na
48648,2008,12,4,2.0,1.3,na,na
48648,2008,12,5,6.4,1.5,na,na
48648,2008,12,6,-33.3,1.4,na,na
48648,2008,12,7,65.4,1.3,na,na
48648,2008,12,8,16.8,1.1,na,na
48648,2008,12,9,34.8,1.3,na,na
48648,2008,12,10,7.4,1.3,na,na
48648,2008,12,11,38.4,1.5,na,na
48648,2008,12,12,-33.3,1.3,na,na
48648,2008,12,13,48.6,1.4,na,na
48648,2008,12,14,4.8,0.9,na,na
48648,2008,12,15,8.4,1.1,na,na
48648,2008,12,16,0.0,1.3,na,na
48648,2008,12,17,0.0,1.5,na,na
48648,2008,12,18,0.0,1.9,na,na
48648,2008,12,19,4.6,1.4,na,na
48648,2008,12,20,2.0,1.5,na,na
48648,2008,12,21,9.2,0.9,na,na
48648,2008,12,22,0.0,1.3,na,na
48648,2008,12,23,0.0,2.0,na,na
48648,2008,12,24,0.0,2.1,na,na
48648,2008,12,25,4.4,1.7,na,na
48648,2008,12,26,-33.3,2.1,na,na
48648,2008,12,27,0.0,2.7,na,na
48648,2008,12,28,2.6,2.7,na,na
48648,2008,12,29,2.8,2.9,na,na
48648,2008,12,30,-33.3,2.9,na,na
48648,2008,12,31,0.0,2.7,na,na
48648,2009,1,1,36.4,1.5,na,na
48648,2009,1,2,2.0,1.6,na,na
48648,2009,1,3,34.2,1.3,na,na
48648,2009,1,4,0.0,1.1,na,na
48648,2009,1,5,0.0,1.3,na,na
48648,2009,1,6,7.0,1.2,na,na
48648,2009,1,7,0.0,1.3,na,na
48648,2009,1,8,0.2,1.1,na,na
48648,2009,1,9,3.8,1.2,na,na
48648,2009,1,10,0.0,1.3,na,na
48648,2009,1,11,-33.3,1.5,na,na
48648,2009,1,12,0.2,1.4,na,na
48648,2009,1,13,0.0,1.7,na,na
48648,2009,1,14,0.6,1.9,na,na
48648,2009,1,15,0.0,1.7,na,na
48648,2009,1,16,0.8,1.5,na,na
48648,2009,1,17,0.0,1.4,na,na
48648,2009,1,18,0.0,1.4,na,na
48648,2009,1,19,0.0,1.6,na,na
48648,2009,1,20,17.6,1.5,na,na
48648,2009,1,21,49.8,1.7,na,na
48648,2009,1,22,4.4,1.2,na,na
48648,2009,1,23,0.0,1.4,na,na
48648,2009,1,24,7.8,1.5,na,na
48648,2009,1,25,4.2,1.9,na,na
48648,2009,1,26,0.0,1.7,na,na
48648,2009,1,27,0.0,1.4,na,na
48648,2009,1,28,23.4,2.0,na,na
48648,2009,1,29,25.0,1.3,na,na
48648,2009,1,30,0.8,1.4,na,na
48648,2009,1,31,5.8,-1.1,na,na
48648,2009,2,1,24.6,1.1,na,na
48648,2009,2,2,45.4,1.5,na,na
48648,2009,2,3,7.8,1.6,na,na
48648,2009,2,4,31.0,1.3,na,na
48648,2009,2,5,0.0,1.4,na,na
48648,2009,2,6,2.8,1.7,na,na
48648,2009,2,7,0.0,1.3,na,na
48648,2009,2,8,0.0,1.6,na,na
48648,2009,2,9,0.2,1.5,na,na
48648,2009,2,10,0.2,1.7,na,na
48648,2009,2,11,0.0,1.6,na,na
48648,2009,2,12,0.0,2.4,na,na
48648,2009,2,13,0.0,3.0,na,na
48648,2009,2,14,0.0,2.4,na,na
48648,2009,2,15,0.0,2.1,na,na
48648,2009,2,16,0.0,2.0,na,na
48648,2009,2,17,9.4,1.8,na,na
48648,2009,2,18,12.2,1.3,na,na
48648,2009,2,19,0.0,1.6,na,na
48648,2009,2,20,0.0,1.9,na,na
48648,2009,2,21,37.6,1.5,na,na
48648,2009,2,22,2.4,1.6,na,na
48648,2009,2,23,10.8,1.5,na,na
48648,2009,2,24,23.6,1.3,na,na
48648,2009,2,25,9.8,1.4,na,na
48648,2009,2,26,28.8,1.6,na,na
48648,2009,2,27,0.0,1.8,na,na
48648,2009,2,28,7.2,2.7,na,na
48648,2009,3,1,35.6,1.5,na,na
48648,2009,3,2,5.0,1.3,na,na
48648,2009,3,3,22.2,1.5,na,na
48648,2009,3,4,0.2,1.2,na,na
48648,2009,3,5,1.4,1.3,na,na
48648,2009,3,6,0.0,1.7,na,na
48648,2009,3,7,1.0,1.5,na,na
48648,2009,3,8,0.0,1.9,na,na
48648,2009,3,9,3.2,2.4,na,na
48648,2009,3,10,14.0,1.3,na,na
48648,2009,3,11,7.4,1.4,na,na
48648,2009,3,12,2.6,1.2,na,na
48648,2009,3,13,11.2,1.6,na,na
48648,2009,3,14,5.8,2.1,na,na
48648,2009,3,15,63.2,1.2,na,na
48648,2009,3,16,0.4,1.4,na,na
48648,2009,3,17,39.2,1.3,na,na
48648,2009,3,18,0.4,2.2,na,na
48648,2009,3,19,-33.3,1.9,na,na
48648,2009,3,20,18.0,1.8,na,na
48648,2009,3,21,-33.3,2.0,na,na
48648,2009,3,22,0.0,1.4,na,na
48648,2009,3,23,6.4,1.5,na,na
48648,2009,3,24,44.4,1.1,na,na
48648,2009,3,25,15.2,2.3,na,na
48648,2009,3,26,36.8,1.9,na,na
48648,2009,3,27,65.8,2.0,na,na
48648,2009,3,28,8.6,1.3,na,na
48648,2009,3,29,9.0,2.0,na,na
48648,2009,3,30,2.6,1.4,na,na
48648,2009,3,31,0.0,1.3,na,na
48648,2009,4,1,0.0,1.8,na,na
48648,2009,4,2,20.2,1.5,na,na
48648,2009,4,3,16.8,1.5,na,na
48648,2009,4,4,45.0,1.2,na,na
48648,2009,4,5,29.2,1.5,na,na
48648,2009,4,6,13.4,1.4,na,na
48648,2009,4,7,-33.3,1.5,na,na
48648,2009,4,8,5.2,1.7,na,na
48648,2009,4,9,0.0,2.0,na,na
48648,2009,4,10,15.6,1.5,na,na
48648,2009,4,11,15.8,1.5,na,na
48648,2009,4,12,42.6,1.8,na,na
48648,2009,4,13,6.6,1.4,na,na
48648,2009,4,14,33.0,1.3,na,na
48648,2009,4,15,0.4,2.0,na,na
48648,2009,4,16,0.0,1.8,na,na
48648,2009,4,17,0.0,1.3,na,na
48648,2009,4,18,-33.3,1.8,na,na
48648,2009,4,19,0.0,1.5,na,na
48648,2009,4,20,13.8,3.7,na,na
